,SCHID,AGEC_NEW,SCHTREAT_(1) Treatment school (Roots meetings 2012-2013),GENDER_(1) Boy,GR_(1) 6th grade,GR_(2) 7th grade,GR_(3) 8th grade,COLL_(1) Yes,COLL_(2) Maybe,COLL_(3) Don't know,CELL_(1) Cell phone without Internet,CELL_(2) Cell phone with Internet,FSCH_(1) Do go to this school,RTSM1_(0) No,RTSM1_(1) Yes,RTSM2_(0) No,RTSM2_(1) Yes,RTSM3_(0) No,RTSM3_(1) Yes,RTSM4_(0) No,RTSM4_(1) Yes,RTSM5_(0) No,RTSM5_(1) Yes,RTSM6_(0) No,RTSM6_(1) Yes,RTSM7_(0) No,RTSM7_(1) Yes,RTSM8_(0) No,RTSM8_(1) Yes,RTSM9_(0) No,RTSM9_(1) Yes,composite_conflict_score
45,47,11.585034013605442,0.0,0.5,0.2833333333333333,0.18,0.25666666666666665,0.7566666666666667,0.11666666666666667,0.07,0.33666666666666667,0.43,0.8433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2941666666666665
46,48,12.529968454258675,1.0,0.48589341692789967,0.003134796238244514,0.47648902821316613,0.4670846394984326,0.8432601880877743,0.05329153605015674,0.02821316614420063,0.29153605015673983,0.5329153605015674,0.8338557993730408,0.018808777429467086,0.05642633228840126,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,0.009404388714733543,0.06583072100313479,0.0,0.07523510971786834,4.744514106583072
47,49,12.25061425061425,1.0,0.4613526570048309,0.32608695652173914,0.30193236714975846,0.2826086956521739,0.7705314009661836,0.06280193236714976,0.036231884057971016,0.16183574879227053,0.5193236714975845,0.6956521739130435,0.0024154589371980675,0.05555555555555555,0.00966183574879227,0.04830917874396135,0.026570048309178744,0.03140096618357488,0.012077294685990338,0.04589371980676329,0.01932367149758454,0.03864734299516908,0.012077294685990338,0.04589371980676329,0.012077294685990338,0.04589371980676329,0.00966183574879227,0.04830917874396135,0.012077294685990338,0.04589371980676329,5.131642512077295
48,50,11.579545454545455,0.0,0.48314606741573035,0.20786516853932585,0.24719101123595505,0.2303370786516854,0.7359550561797753,0.11797752808988764,0.0449438202247191,0.29213483146067415,0.38764044943820225,0.7696629213483146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4831460674157304
49,51,12.168498168498168,1.0,0.5027223230490018,0.32849364791288566,0.2867513611615245,0.30127041742286753,0.6678765880217786,0.15970961887477314,0.056261343012704176,0.21960072595281308,0.52994555353902,0.7894736842105263,0.010889292196007259,0.047186932849364795,0.012704174228675136,0.045372050816696916,0.007259528130671506,0.050816696914700546,0.014519056261343012,0.043557168784029036,0.012704174228675136,0.045372050816696916,0.007259528130671506,0.050816696914700546,0.014519056261343012,0.043557168784029036,0.029038112522686024,0.029038112522686024,0.007259528130671506,0.050816696914700546,4.932849364791289
50,53,11.595898673100121,0.0,0.48288075560802834,0.23376623376623376,0.26092089728453366,0.24557260920897284,0.8654073199527745,0.05548996458087367,0.02833530106257379,0.3955135773317591,0.3907910271546635,0.8606847697756789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866587957497049
51,55,11.56140350877193,0.0,0.5107296137339056,0.27467811158798283,0.2317596566523605,0.22746781115879827,0.7982832618025751,0.07725321888412018,0.05150214592274678,0.31759656652360513,0.34334763948497854,0.8669527896995708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1834763948497855
52,56,12.086158192090396,1.0,0.4554317548746518,0.30919220055710306,0.29526462395543174,0.29526462395543174,0.7674094707520891,0.0766016713091922,0.02924791086350975,0.16434540389972144,0.5222841225626741,0.7353760445682451,0.001392757660167131,0.04317548746518106,0.004178272980501393,0.0403899721448468,0.004178272980501393,0.0403899721448468,0.018105849582172703,0.026462395543175487,0.01532033426183844,0.02924791086350975,0.016713091922005572,0.027855153203342618,0.006963788300835654,0.037604456824512536,0.011142061281337047,0.033426183844011144,0.002785515320334262,0.04178272980501393,4.7604456824512535
53,57,11.597069597069597,0.0,0.46236559139784944,0.1863799283154122,0.26523297491039427,0.25806451612903225,0.7885304659498208,0.08960573476702509,0.053763440860215055,0.33691756272401435,0.4157706093189964,0.8458781362007168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400537634408602
54,58,12.553017944535073,1.0,0.46849757673667203,0.004846526655896607,0.4991922455573506,0.4394184168012924,0.7754442649434572,0.08723747980613894,0.05654281098546042,0.36187399030694667,0.47495961227786754,0.8352180936995154,0.008077544426494346,0.04361873990306947,0.017770597738287562,0.033925686591276254,0.029079159935379646,0.022617124394184167,0.025848142164781908,0.025848142164781908,0.027463651050080775,0.024232633279483037,0.027463651050080775,0.024232633279483037,0.027463651050080775,0.024232633279483037,0.029079159935379646,0.022617124394184167,0.025848142164781908,0.025848142164781908,5.0678513731825525
55,59,12.57913043478261,0.0,0.47668393782383417,0.0,0.44041450777202074,0.5094991364421416,0.8601036269430051,0.05872193436960276,0.017271157167530225,0.27461139896373055,0.6476683937823834,0.8670120898100173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.332901554404145
56,60,12.61196319018405,1.0,0.4583963691376702,0.0,0.46747352496217853,0.5098335854765507,0.8819969742813918,0.046898638426626324,0.01059001512859304,0.32223903177004537,0.5658093797276853,0.8547655068078669,0.01361573373676248,0.03479576399394856,0.0226928895612708,0.025718608169440244,0.02118003025718608,0.02723146747352496,0.01664145234493192,0.03177004538577912,0.02723146747352496,0.02118003025718608,0.03328290468986384,0.015128593040847202,0.030257186081694403,0.018154311649016642,0.0226928895612708,0.025718608169440244,0.048411497730711045,0.0,5.069969742813918
