,SCHID,AGEC_NEW,SCHTREAT_(0) Control school (no Roots meetings 2012-2013),SCHTREAT_(1) Treatment school (Roots meetings 2012-2013),GENDER_(0) Girl,GENDER_(1) Boy,GR_(0) 5th grade,GR_(1) 6th grade,GR_(2) 7th grade,GR_(3) 8th grade,COLL_(0) No,COLL_(1) Yes,COLL_(2) Maybe,COLL_(3) Don't know,CELL_(0) No cell phone,CELL_(1) Cell phone without Internet,CELL_(2) Cell phone with Internet,FSCH_(0) Do not go to this school,FSCH_(1) Do go to this school,TREAT_(0) Not treatment or control,TREAT_(1) Treatment,TREAT_(2) Control,Composite_Conflict_Score
24052,60,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
17618,42,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,
23904,60,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
8200,22,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
10898,25,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
24073,60,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
2626,8,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
1398,6,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,12.0
8982,23,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
19125,48,12.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
4885,14,12.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,
16601,39,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
22484,57,12.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
24367,60,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
15805,38,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
4016,12,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
17127,41,11.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,
17214,41,13.0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,
14193,34,11.0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,
16864,41,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
3797,11,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
7736,22,11.0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
16310,39,11.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,
20612,53,10.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
23352,59,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
3955,11,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9483,24,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,
9532,24,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7766,22,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
18695,46,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
16073,38,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
23299,59,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,
14018,34,10.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
6257,19,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,
17520,42,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
13636,33,11.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,
20415,51,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
4887,14,12.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
7553,21,12.0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,
22901,58,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
9827,24,13.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,
6163,18,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
14583,35,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,
13033,31,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18574,45,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13945,34,11.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,
2191,8,10.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10.0
8559,23,11.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,
2059,7,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,4.75
14888,36,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
5914,18,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
144,1,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,15.0
3681,11,13.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
20365,51,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12326,30,11.0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,
24338,60,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
14998,36,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,
6139,18,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3315,10,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,
19467,49,11.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
7295,21,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
2166,8,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-1.0
21949,56,12.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,
20423,51,14.0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,
8716,23,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,
11323,27,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
12814,31,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
21540,55,13.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
4465,12,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4133,12,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
7712,21,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11721,28,14.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
11924,29,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
23459,59,12.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,
12241,30,10.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
12633,30,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
17942,44,10.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
9645,24,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
4559,13,10.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
19,1,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,11.0
17020,41,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
19653,49,13.0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,
3886,11,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
3724,11,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
19238,48,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
15784,38,12.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
1764,7,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,16.0
1400,6,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,5.0
18403,45,13.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,
3307,10,12.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,
3013,9,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,
15918,38,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
9765,24,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
21013,53,,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,
7175,20,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
3586,11,12.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
15432,37,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
16986,41,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
653,2,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,11.0
15865,38,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
4682,13,11.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
6858,20,10.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
10728,25,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
5272,16,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,
17655,42,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,
12551,30,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
2426,8,12.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,13.0
6950,20,9.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
8579,23,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
11308,27,13.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
5041,14,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22852,58,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
10725,25,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
5495,17,12.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,
6641,19,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
274,1,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0.0
21966,56,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
8876,23,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
8841,23,13.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,
6460,19,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
18348,45,12.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
19465,49,12.0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,
619,2,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,-12.5
19415,49,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
5936,18,12.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
15725,38,10.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,
17873,43,12.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,
7391,21,12.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,
4829,13,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
18219,45,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
13232,32,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
23480,59,12.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,
8315,22,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
19348,48,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
6361,19,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
3481,10,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,
22115,56,13.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,
16867,41,10.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,
17633,42,13.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,
20950,53,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
1126,6,12.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,12.0
10888,25,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
3029,9,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11275,27,12.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
15350,36,14.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
13873,34,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
2971,9,12.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,
11354,27,12.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
24248,60,12.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
3881,11,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1225,6,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25
20107,51,11.0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,
251,1,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,11.0
